SY,ORG_ID,PK/EEE,K_Full,K_Part,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,AW,ADP,PD,Total
2015,PS047,5,0,9,7,8,9,5,8,13,0,0,0,0,0,0,0,0,0,64
2015,PS237,0,0,0,0,0,0,0,0,0,78,73,75,68,89,62,2,0,0,447
2015,PS359,19,34,0,48,46,34,49,41,37,0,0,0,0,0,0,0,0,0,308
2015,PS069,17,0,7,22,12,9,11,12,14,9,20,12,15,19,15,0,0,0,194
2015,PS206,11,12,0,8,11,15,11,19,13,15,12,0,0,0,0,0,0,0,127
2015,PS263,41,17,0,14,18,14,20,20,17,0,0,0,0,0,0,0,0,0,161
2015,PS274,44,11,0,36,17,23,25,24,29,23,24,28,32,39,24,0,0,0,379
2015,PS303,10,8,0,12,10,12,14,16,12,5,14,0,0,0,0,0,0,0,113
2015,PS007,12,13,0,9,11,7,5,8,10,10,9,0,0,0,0,0,0,0,94
2015,PS022,32,16,0,20,16,19,14,14,20,20,22,0,0,0,0,0,0,0,193
2015,PS049,5,10,0,14,14,9,14,6,13,9,12,0,0,0,0,0,0,0,106
2015,PS118,12,8,0,18,12,14,17,9,15,12,17,0,0,0,0,0,0,0,134
2015,PS147,16,12,0,13,12,14,19,18,8,16,12,0,0,0,0,0,0,0,140
2015,PS157,0,0,0,0,0,0,0,0,0,0,0,97,90,79,86,0,0,0,352
2015,PS217,10,19,0,8,16,12,10,13,9,11,7,0,0,0,0,0,0,0,115
2015,PS078,11,6,0,9,10,8,10,8,9,15,15,16,18,29,15,0,0,0,179
2015,PS126,15,5,0,12,15,6,16,12,9,0,0,0,0,0,0,0,0,0,90
2015,PS131,41,32,0,42,33,35,34,24,36,0,0,0,0,0,0,0,0,0,277
2015,PS139,0,0,0,0,0,0,0,0,0,51,62,65,64,51,54,0,0,0,347
2015,PS352,18,17,0,23,21,13,19,17,16,0,0,0,0,0,0,0,0,0,144
2015,PS353,4,8,0,9,7,1,6,8,5,0,0,0,0,0,0,0,0,0,48
2015,PI004,0,0,0,0,0,0,0,0,0,37,35,44,30,32,34,0,0,0,212
2015,PS106,17,21,0,20,19,22,17,34,19,0,0,0,0,0,0,0,0,0,169
2015,PS399,26,24,0,17,13,13,17,0,0,0,0,0,0,0,0,0,0,0,110
2015,PS232,19,13,0,19,22,23,14,18,20,0,0,0,0,0,0,0,0,0,148
2015,PS233,0,0,0,0,0,0,0,0,0,22,22,22,31,18,19,0,0,0,134
2015,PS258,23,32,0,34,36,40,45,30,54,35,43,0,0,0,0,0,0,0,372
2015,PS331,29,24,0,32,27,27,25,23,24,22,31,27,23,19,19,0,0,0,352
2015,PS253,0,0,0,0,0,0,0,0,0,0,0,217,218,194,217,6,0,0,852
2015,PS255,15,61,0,65,80,0,0,0,0,0,0,0,0,0,0,0,0,0,221
2015,PS256,32,82,0,68,75,0,0,0,0,0,0,0,0,0,0,0,0,0,257
2015,PS365,0,0,0,0,0,0,0,0,0,153,165,0,0,0,0,0,0,0,318
2015,PS382,0,0,0,0,0,120,150,158,157,0,0,0,0,0,0,0,0,0,585
2015,PS021,18,20,0,23,25,16,20,20,15,25,27,0,0,0,0,0,0,0,209
2015,PS160,3,7,0,5,8,9,10,9,11,0,0,0,0,0,0,0,0,0,62
2015,PS165,32,29,0,28,26,33,30,34,17,0,0,0,0,0,0,0,0,0,229
2015,PS200,63,36,0,45,47,51,55,38,51,0,0,0,0,0,0,0,0,0,386
2015,PS219,0,0,0,0,0,0,0,0,0,84,88,104,101,88,61,0,0,0,526
2015,PS290,0,2,0,9,6,4,3,3,2,0,0,0,0,0,0,0,0,0,29
2015,PS340,6,2,0,6,3,7,6,3,4,0,0,0,0,0,0,0,0,0,37
2015,PS071,20,14,0,22,15,24,24,27,29,0,0,0,0,0,0,0,0,0,175
2015,PS183,0,0,0,0,0,0,0,0,0,68,61,97,76,93,97,0,0,0,492
2015,PS269,16,10,0,7,9,14,7,9,6,0,0,0,0,0,0,0,0,0,78
2015,PS300,12,7,0,3,4,6,6,4,3,0,0,0,0,0,0,0,0,0,45
2015,PS317,21,21,0,12,25,16,16,16,16,0,0,0,0,0,0,0,0,0,143
2015,PS182,13,8,0,9,9,7,12,6,11,0,0,0,0,0,0,0,0,0,75
2015,PS229,42,24,0,31,27,28,25,26,31,0,0,0,0,0,0,0,0,0,234
2015,PS230,0,0,0,0,0,0,0,0,0,28,36,41,31,33,40,0,0,0,209
2015,PS328,15,11,0,15,9,11,8,9,15,0,0,0,0,0,0,0,0,0,93
2015,PS176,3,25,0,40,52,46,53,46,43,0,0,0,0,0,0,0,0,0,308
2015,PS064,241,28,0,28,49,37,42,39,0,0,0,0,0,0,0,0,0,0,464
2015,PS216,0,64,0,48,70,58,54,65,0,0,0,0,0,0,0,0,0,0,359
2015,PS271,0,56,0,67,51,68,56,63,0,0,0,0,0,0,0,0,0,0,361
2015,PS272,0,0,0,0,0,0,0,0,0,0,0,256,211,213,221,0,0,0,901
2015,PS273,0,0,0,0,0,0,0,0,154,186,155,0,0,0,0,0,0,0,495
2015,PS029,56,55,0,52,40,39,39,46,0,0,0,0,0,0,0,0,0,0,327
2015,PS188,67,58,0,74,63,56,68,59,0,0,0,0,0,0,0,0,0,0,445
2015,PS192,23,17,0,19,22,28,29,17,0,0,0,0,0,0,0,0,0,0,155
2015,PS196,0,0,0,0,0,0,0,0,0,0,0,214,238,257,239,4,0,0,952
2015,PS197,0,0,0,0,0,0,0,0,125,238,245,0,0,0,0,0,0,0,608
2015,PS231,24,41,0,38,28,36,48,30,26,0,0,0,0,0,0,0,0,0,271
2015,PS262,25,33,0,33,35,37,43,38,23,0,0,0,0,0,0,0,0,0,267
